,Disease,Prescribed_for,DrugName_list
546,Lupus,Systemic Lupus Erythematosus,"['CellCept', 'Hydroxychloroquine', 'Plaquenil', 'Benlysta', 'Belimumab', 'Imuran', 'Azathioprine', 'Prednisone']"
547,Mastocytosis,Systemic Mastocytosis,"['Cromolyn', 'Rydapt']"
548,Systemic scleroderma,Systemic Sclerosis,['Methotrexate']
549,Anaplastic thyroid cancer,TSH Suppression,"['Levothyroxine', 'NP Thyroid', 'Armour Thyroid', 'Thyroid desiccated']"
550,,Temporomandibular Joint Disorde,"['Diazepam', 'Piroxicam', 'Clonazepam', 'Cyclobenzaprine']"
551,Tendinopathy,Tendonitis,"['Meloxicam', 'Indocin SR', 'Naprosyn', 'Trolamine salicylate', 'Naproxen', 'Anaprox', 'Indomethacin', 'Mobic']"
552,Thrombocythemia,Thrombocythemia,['Hydroxyurea']
553,Type 1 diabetes,Thyroid Cance,"['Sorafenib', 'Armour Thyroid', 'Nature-Throid', 'Thyroid desiccated']"
554,Hyperthyroidism,Thyrotoxicosis,['Inderal']
555,Tinea corporis,Tinea Corporis,"['Zeasorb-AF', 'Oxistat', 'Clotrimazole', 'Econazole', 'Undecylenic acid']"
556,Tinea cruris,Tinea Cruris,"['Undecylenic acid', 'Fulvicin U / F', 'Miconazole', 'Naftifine', 'Lamisil AT', 'Gris-PEG']"
557,Athlete's foot,Tinea Pedis,"['Ertaczo', 'Terbinafine', 'Econazole', 'Miconazole', 'Lamisil', 'Naftin']"
558,,Tinea Versicol,"['Ketoconazole', 'Fluconazole', 'Econazole', 'Selenium sulfide', 'Tolnaftate', 'Selsun Blue']"
559,Tinnitus,Tinnitus,"['Alprazolam', 'Xanax']"
560,Tonsillitis,Tonsillitis/Pharyngitis,"['Omnicef', 'Cefdinir', 'Clarithromycin', 'Azithromycin', 'Amoxicillin', 'Cefzil']"
561,Topical steroid withdrawal,Topical Disinfection,['Silver nitrate']
562,Tourette syndrome,Tourette's Syndrome,"['Abilify', 'Clonidine', 'Guanfacine', 'Pimozide', 'Orap', 'Haldol', 'Quetiapine', 'Zyprexa', 'Aripiprazole']"
563,Transient ischemic attack,Transient Ischemic Attack,['Clopidogrel']
564,Travelers' diarrhea,Traveler's Diarrhea,"['Rifaximin', 'Loperamide']"
565,Trichomoniasis,Trichomoniasis,"['Metronidazole', 'Tindamax']"
566,Trichotillomania,Trichotillomania,['Paxil']
567,Trigeminal neuralgia,Trigeminal Neuralgia,"['Carbamazepine', 'Tegretol', 'Oxcarbazepine', 'Baclofen', 'Tegretol XR', 'Topiramate', 'Carbatrol', 'Topamax', 'Gabapentin', 'Neurontin', 'Trileptal']"
568,Tuberculosis,"Tuberculosis, Latent","['Isoniazid', 'Rifampin']"
569,Pierre Robin sequence,Tympanostomy Tube Placement Surgery,['Ciprofloxacin']
570,Ulcerative colitis,Ulcerative Colitis,"['Mesalamine', 'Infliximab', 'Asacol', 'Colazal', 'CellCept', 'Uceris', 'Prednisone', 'Mycophenolate mofetil', 'Sulfasalazine', 'Imuran', 'Budesonide', 'Vedolizumab', 'Simponi', 'Humira', 'Azathioprine', 'Adalimumab', 'Dexamethasone', 'Remicade', 'Balsalazide', 'Lialda', 'Sulfazine', 'Rowasa', 'Salofalk']"
571,Ulcerative colitis,"Ulcerative Colitis, Active","['Mesalamine', 'Lialda', 'Balsalazide', 'Asacol HD', 'Cyclosporine', 'Budesonide', 'Asacol']"
572,Ulcerative colitis,"Ulcerative Colitis, Maintenance","['Asacol', 'Asacol HD', 'Apriso', 'Mercaptopurine', 'Mesalamine']"
573,Proctitis,Ulcerative Proctitis,"['Pentasa', 'Canasa', 'Mesalamine']"
574,Hypothyroidism,Underactive Thyroid,"['Levothyroxine', 'Liothyronine', 'Thyroid desiccated', 'NP Thyroid', 'Armour Thyroid', 'Synthroid', 'Levoxyl', 'WP Thyroid', 'Tirosint']"
575,Undifferentiated connective tissue disease,Undifferentiated Connective Tissue Disease,['Hydroxychloroquine']
576,Hereditary spastic paraplegia,Upper Limb Spasticity,['OnabotulinumtoxinA']
577,Upper respiratory tract infection,Upper Respiratory Tract Infection,"['Doryx', 'Azithromycin Dose Pack', 'Amoxicillin / clavulanate', 'Augmentin', 'Clarithromycin', 'Amoxicillin', 'Doxycycline', 'Azithromycin', 'Erythromycin', 'Zithromax', 'Cephalexin', 'Cefuroxime', 'Ceftin', 'Cefpodoxime', 'Sulfamethoxazole / trimethoprim', 'Keflex', 'E.E.S.-400']"
578,Overactive bladder,Urinary Incontinence,"['VESIcare', 'Oxybutynin', 'Trospium', 'Duloxetine', 'Mirabegron', 'Sanctura XR', 'Sanctura', 'Oxytrol', 'OnabotulinumtoxinA', 'Solifenacin', 'Hyoscyamine', 'Darifenacin', 'Enablex', 'Myrbetriq', 'Toviaz', 'Fesoterodine']"
579,Urinary retention,Urinary Retention,['Bethanechol']
580,Urinary tract infection,Urinary Tract Infection,"['Bactrim', 'Ciprofloxacin', 'Macrobid', 'Cipro', 'Sulfamethoxazole / trimethoprim', 'Hiprex', 'Cefuroxime', 'Bactrim DS', 'Nitrofurantoin', 'Rocephin', 'Ceftin', 'Levaquin', 'Amoxicillin', 'Trimethoprim', 'Uribel', 'Ceftriaxone', 'Lactobacillus acidophilus', 'Levofloxacin', 'Macrodantin', 'Hyoscyamine / methenamine / methylene blue / phenyl salicylate / sodium biphosphate', 'Doripenem', 'Doxycycline', 'Doribax', 'Cefixime', 'Unasyn', 'SMZ-TMP DS', 'Amoxicillin / clavulanate', 'Methenamine', 'Septra', 'Vibramycin', 'Hyoscyamine / methenamine / methylene blue / phenyl salicylate']"
581,Kidney stone disease,Urinary Tract Stones,"['Tamsulosin', 'Flomax', 'Allopurinol']"
582,Hives,Urticaria,"['Xyzal', 'Cetirizine', 'Benadryl Allergy', 'Zyrtec', 'Loratadine', 'Fexofenadine', 'Levocetirizine', 'Omalizumab', 'Doxepin', 'Clarinex', 'Xolair', 'Allegra', 'Cyproheptadine', 'Diphenhydramine']"
583,Abnormal uterine bleeding,Uterine Bleeding,['Progesterone']
584,Uterine fibroid,Uterine Fibroids,"['Lupron Depot', 'Leuprolide']"
585,Uveitis,Uveitis,"['Durezol', 'Difluprednate', 'Infliximab', 'Dexamethasone']"
586,Vaginal yeast infection,Vaginal Yeast Infection,"['Miconazole', 'Tioconazole', 'Terconazole', 'Monistat 3-Day Combination Pack', 'Fluconazole', 'Diflucan', 'Monistat 7', 'Monistat 7-Day Combination Pack', 'Sporanox', 'Lactobacillus acidophilus', 'Acidophilus', 'Gynazole-1', 'Ketoconazole', 'Terazol 3', 'Monistat 1-Day or Night Combination Pack', 'Vagistat-1']"
587,,Varicella-Zoste,"['Valtrex', 'Valacyclovir']"
588,Arrhythmia,Ventricular Arrhythmia,['Betapace']
589,Ventricular fibrillation,Ventricular Fibrillation,['Amiodarone']
590,Ventricular tachycardia,Ventricular Tachycardia,"['Inderal', 'Propafenone', 'Ethmozine', 'Tambocor']"
591,,Vertig,"['Meclizine', 'Promethazine', 'Bonine']"
592,Vitamin B12 deficiency,Vitamin B12 Deficiency,"['Vitamin B12', 'Cyanocobalamin']"
593,Vitamin D deficiency,Vitamin D Deficiency,"['Vitamin D2', 'Ergocalciferol']"
594,Vitamin D deficiency,Vitamin/Mineral Supplementation and Deficiency,"['Multivitamin with minerals', 'Multivitamin with iron', 'Chromium picolinate', 'Ferrous sulfate']"
595,Vitamin B6,Vitamin/Mineral Supplementation during Pregnancy/Lactation,"['Prenatal Plus', 'Multivitamin', ' prenatal', 'CitraNatal 90 DHA', 'Prenatabs FA', 'Vitafol Ultra']"
596,Vulvodynia,Vulvodynia,"['Nortriptyline', 'Gabapentin', 'Desipramine', 'Neurontin', 'Amitriptyline', 'Topiramate']"
597,Wart,Warts,"['Duofilm', 'Wart Remover']"
598,Granulomatosis with polyangiitis,Wegener's Granulomatosis,['Rituximab']
599,,Weight Loss,"['Contrave', 'Phentermine', 'Belviq', 'Adipex-P', 'Liraglutide', 'Qsymia', 'Phentermine / topiramate', 'Bupropion / naltrexone', 'Lorcaserin', 'Fastin', 'Saxenda', 'Victoza', 'Megestrol', 'Suprenza', 'Megace ES']"
600,Wolff–Parkinson–White syndrome,Wolff-Parkinson-White Syndrome,['Flecainide']
601,Xerostomia,Xerostomia,"['Saliva substitutes', 'Pilocarpine', 'Salagen', 'SalivaMAX']"
602,Viral hemorrhagic fever,Yellow Fever Prophylaxis,['Yellow fever vaccine']
603,Zollinger–Ellison syndrome,Zollinger-Ellison Syndrome,['Prilosec']
604,,acial Wrinkles,"['OnabotulinumtoxinA', 'AbobotulinumtoxinA', 'Botox Cosmetic']"
605,Haemophilia B,actor IX Deficiency,['Cyklokapron']
606,,amilial Cold Autoinflammatory Syndrome,['Arcalyst']
607,,atigue,"['Amphetamine / dextroamphetamine', 'Modafinil', 'Provigil', 'Dextroamphetamine', 'Methylphenidate']"
608,,cal Segmental Glomerulosclerosis,['Corticotropin']
609,,emale Infertility,"['Clomiphene', 'Clomid', 'Femara', 'Leuprolide', 'Metformin']"
610,,eve,"['Tylenol', 'Ibuprofen', 'Acetaminophen']"
611,,ibrocystic Breast Disease,['Danocrine']
612,,ibromyalgia,"['Gabapentin', 'Lyrica', 'Milnacipran', 'Savella', 'Cyclobenzaprine', 'Amitriptyline', 'Duloxetine', 'Mucinex', 'Pregabalin', 'Venlafaxine', 'Naltrexone', 'Cymbalta', 'Guaifenesin', 'Nuvigil', 'Pristiq', 'Ultram ER', 'Metaxalone', 'Escitalopram', 'Skelaxin', 'Topiramate', 'Trazodone', 'Effexor', 'Armodafinil', 'Ultram', 'Effexor XR', 'Tramadol', 'Lexapro', 'Desyrel', 'Elavil', 'Neurontin', 'Prozac', 'Prednisone', 'Topamax', 'Meloxicam', 'Sodium oxybate', 'Desvenlafaxine', 'Amrix', 'Xyrem', 'Flexeril', 'Sterapred DS']"
613,,lic Acid Deficiency,"['Deplin', 'L-methylfolate']"
614,,llicle Stimulation,"['Menotropins', 'Gonal-f', 'Follicle stimulating hormone', 'Menopur']"
615,,m Pain Disorde,['Amitriptyline']
616,,mance Anxiety,['Propranolol']
617,,me,['Bevacizumab']
618,Von Willebrand disease,von Willebrand's Disease,['Desmopressin']
619,,zen Shoulde,"['Diclofenac', 'Voltaren', 'Aleve', 'Relafen']"
