Prescribed_for,DrugName_list,Disease,Symptoms,Symptoms_Length,Number_of_Drugs,Preprocessed_Symptoms
Benzodiazepine Withdrawal,"Klonopin,Clonazepam",Benzodiazepine withdrawal syndrome,"['Withdrawal symptoms occur during dose reduction and may include insomnia', 'anxiety', 'distress', 'weight loss', 'dizziness', 'night sweats', 'shakes', 'muscle twitches', 'aphasia', 'panic attacks', 'depression', 'derealization', 'paranoia', 'indigestion', 'diarrhea and photophobia . As withdrawal progresses', 'patients often find their physical and mental health improves with improved mood and improved cognition.']",421,2,withdrawal symptom occur dose reduction may include insomnia anxiety distress weight loss dizziness night sweat shake muscle twitch aphasia panic attack depression derealization paranoia indigestion diarrhea photophobia withdrawal progress patient often find physical mental health improves improved mood improved cognition
Biliary Cirrhosis,"Ursodiol,Urso",Primary biliary cholangitis,"Cholestasis , pruritus , fatigue",32,2,cholestasis pruritus fatigue
Binge Eating Disorde,"Vyvanse,Lisdexamfetamine",,nan,3,2,nan
Bipolar Disorde,"Klonopin,Lurasidone,Lamotrigine,Gabapentin,Aripiprazole,Depakote,Quetiapine,Symbyax,Asenapine,Divalproex sodium,Olanzapine,Saphris,Latuda,Seroquel,Clonazepam,Ziprasidone,Effexor,Topamax,Seroquel XR,Armodafinil,Oxcarbazepine,Lamictal,Paliperidone,Lithium,Risperidone,Bupropion,Vraylar,Lithobid,Risperdal,Valproic acid,Keppra,Carbamazepine,Abilify,Zyprexa,Depakote ER,Perphenazine,Tegretol,Duloxetine,Geodon,Venlafaxine,Escitalopram,Fluoxetine / olanzapine,Invega,Topiramate,Nuvigil,Cariprazine,Lexapro,Cymbalta,Zoloft,Wellbutrin,Trileptal,Levetiracetam,Oxtellar XR,Citalopram,Desvenlafaxine,Effexor XR,Sertraline,Zyprexa Zydis,Neurontin,Tegretol XR,Wellbutrin SR,Klonopin Wafer,Eskalith",,nan,3,63,nan
Birth Control,"Cyclafem 1 / 35,Copper,Blisovi Fe 1 / 20,NuvaRing,Ethinyl estradiol / etonogestrel,Etonogestrel,Ortho Tri-Cyclen Lo,Skyla,Ethinyl estradiol / levonorgestrel,Aviane,Implanon,Levonorgestrel,Jolessa,Lo Loestrin Fe,Ethinyl estradiol / norgestimate,Kariva,Ethinyl estradiol / norethindrone,Depo-Provera,Safyral,Nexplanon,ParaGard,Apri,Ortho Evra,Alesse,Microgestin Fe 1.5 / 30,Tri-Sprintec,Mirena,Junel Fe 1 / 20,Ethinyl estradiol / norelgestromin,Sprintec,Xulane,Desogestrel / ethinyl estradiol,Zovia,Ortho Cyclen,Kyleena,TriNessa,Mibelas 24 Fe,Liletta,Ortho Micronor,Yasmin,Medroxyprogesterone,Aubra,Lutera,Drospirenone / ethinyl estradiol / levomefolate calcium,Sronyx,Minastrin 24 Fe,Ortho Tri-Cyclen,Drospirenone / ethinyl estradiol,Ethinyl estradiol / ethynodiol,Dienogest / estradiol,Yaz,Loestrin 24 Fe,Microgestin 1 / 20,Microgestin Fe 1 / 20,Ocella,Portia,Gildess Fe 1.5 / 30,Mononessa,Beyaz,Norethindrone,Cryselle,Camrese,Junel Fe 1.5 / 30,Tri-Previfem,Orsythia,Gildess Fe 1 / 20,Chateal,Camila,Jolivette,Lyza,Generess Fe,Viorele,Sharobel,Reclipsen,Ethinyl estradiol / folic acid / levonorgestrel,Zarah,Tri-Linyah,Mircette,Seasonique,Levora,Lybrel,Ethinyl estradiol / norgestrel,Ashlyna,LoSeasonique,Taytulla,Low-Ogestrel-21,Quasense,Tri-Lo-Sprintec,Seasonale,Nora-Be,Loryna,Natazia,Lessina,Necon 1 / 35,Blisovi 24 Fe,Provera,Errin,Gianvi,Trivora,Microgestin 1.5 / 30,Ovcon 35,Velivet,Enskyce,Estarylla,Jencycla,Amethia,Balziva,Deblitane,Zovia 1 / 50,Tarina Fe 1 / 20,Lo / Ovral,Ortho-Novum 7 / 7 / 7,Nortrel 1 / 35,Tri-Estarylla,Mono-Linyah,Pimtrea,Loestrin 21 1 / 20,Femcon Fe,Zovia 1 / 35,Depo-Provera Contraceptive,Azurette,Emoquette,Junel 1 / 20,Amethia Lo,Necon 7 / 7 / 7,Ortho-Cept,Mestranol / norethindrone,Levlen,Ortho-Novum 1 / 35,TriNessa Lo,Cyclafem 7 / 7 / 7,CamreseLo,Junel Fe 24,Caziant,depo-subQ provera 104,Cyclessa,Previfem,Rajani,Nonoxynol 9,Falmina,Desogen",,nan,3,141,nan
Bladder Infection,"Nitrofurantoin,Macrobid,Cephalexin,Ciprofloxacin,Cefixime,Cipro,Hiprex,Trimethoprim,Monurol,Keflex,Suprax,Methenamine,Levaquin,Noroxin,Furadantin",Urinary tract infection,"Pain with urination , frequent urination, feeling the need to urinate despite having an empty bladder",101,15,pain urination frequent urination feeling need urinate despite empty bladder
Bleeding Disorde,Zoladex,,nan,3,1,nan
Blepharitis,Neo-Poly-Dex,Blepharitis,crusty eyelids,14,1,crusty eyelid
Body Dysmorphic Disorde,Escitalopram,,nan,3,1,nan
Bone infection,"Vancomycin,Clindamycin,Nafcillin",Osteomyelitis,"Pain in a specific bone, overlying redness, fever , weakness",60,3,pain specific bone overlying redness fever weakness
Borderline Personality Disorde,"Quetiapine,Carbamazepine,Fluoxetine,Zyprexa Zydis,Clonazepam,Lamotrigine,Olanzapine,Oxcarbazepine,Asenapine,Lithium,L-methylfolate,Escitalopram,Aripiprazole,Risperidone,Risperdal,Latuda",,nan,3,16,nan
Bowel Preparation,"Suprep Bowel Prep Kit,Polyethylene glycol 3350 with electrolytes,Magnesium sulfate / potassium sulfate / sodium sulfate,MoviPrep,Citric acid / magnesium oxide / sodium picosulfate,GaviLyte-N,Bisacodyl,GoLYTELY,Bisacodyl / polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride,Dulcolax,Prepopik,Polyethylene glycol 3350,GaviLyte-G,HalfLytely and Bisacodyl,GaviLyte-C,PEG-3350 with Electolytes,Colyte",Irritable bowel syndrome,"Diarrhea , constipation , abdominal pain",40,17,diarrhea constipation abdominal pain
Breakthrough Pain,"Subsys,Fentora,Fentanyl,Actiq",Pain,Unpleasant sensory and emotional sensations,43,4,unpleasant sensory emotional sensation
Breast Cance,"Arimidex,Anastrozole,Femara,Letrozole,Tamoxifen,Aromasin,Exemestane,Afinitor,Paclitaxel,Everolimus",,nan,3,10,nan
"Breast Cancer, Adjuvant","Femara,Herceptin,Letrozole,Tamoxifen",Paget's disease of the breast,"[""Paget's disease of the breast can affect the nipple and areola : the nipple is typically affected first and then the skin changes spread to the areola. It is common for symptoms to wax and wane. Symptoms typically only affect one breast and may include:""]",257,4,paget disease breast affect nipple areola nipple typically affected first skin change spread areola common symptom wax wane symptom typically affect one breast may include
"Breast Cancer, Metastatic","Palbociclib,Letrozole,Fulvestrant,Femara,Eribulin,Ibrance,Tykerb,Lapatinib,Taxol,Capecitabine,Paclitaxel,Halaven,Xeloda,Bevacizumab",Metastasis,"['Initially', 'nearby lymph nodes are struck early. The lungs ', 'liver ', 'brain ', 'and bones are the most common metastasis locations from solid tumors.']",157,14,initially nearby lymph node struck early lung liver brain bone common metastasis location solid tumor
"Breast Cancer, Palliative",Goserelin,Cancer,"Lump, abnormal bleeding, prolonged cough, unexplained weight loss , change in bowel movements",93,1,lump abnormal bleeding prolonged cough unexplained weight loss change bowel movement
"Breast Cancer, Prevention",Tamoxifen,Breast cancer,"A lump in a breast, a change in breast shape, dimpling of the skin, fluid from the nipple , a newly inverted nipple, a red scaly patch of skin on the breast",156,1,lump breast change breast shape dimpling skin fluid nipple newly inverted nipple red scaly patch skin breast
Bronchitis,"Azithromycin,Moxifloxacin,Amoxicillin,Amoxicillin / clavulanate,Clarithromycin,Doxycycline,Levaquin,Ciprofloxacin,Bactrim,Azithromycin Dose Pack,Avelox,Augmentin,Guaifenesin,Cefuroxime,Levofloxacin,Erythromycin,Biaxin,Mucinex,Sulfamethoxazole / trimethoprim,Spectracef,Cefdinir,Zithromax,Cipro,Omnicef",Bronchitis,"Coughing up mucus , wheezing , shortness of breath , chest discomfort",69,24,coughing mucus wheezing shortness breath chest discomfort
Bronchospasm Prophylaxis,"Singulair,Montelukast,Formoterol",Exercise-induced bronchoconstriction,Shortness of breath on vigorous exercise,40,3,shortness breath vigorous exercise
Bulimia,"Topamax,Fluoxetine,Venlafaxine,Prozac",Bulimia nervosa,"Eating a large amount of food in a short amount of time followed by vomiting or the use of laxatives , often normal weight",122,4,eating large amount food short amount time followed vomiting use laxative often normal weight
Bullous Pemphigoid,"Prednisolone,Prednisone",Bullous pemphigoid,"['Clinically', 'the earliest lesions may appear as a hives -like red raised rash', 'but could also appear dermatitic', 'targetoid ', 'lichenoid ', 'nodular', 'or even without a rash ( essential pruritus ). Tense bullae eventually erupt', 'most commonly at the inner thighs and upper arms', 'but the trunk and extremities are frequently both involved. Any part of the skin surface can be involved. Oral lesions are present in a minority of cases. The disease may be acute', 'but can last from months to years with periods of exacerbation and remission.']",553,2,clinically earliest lesion may appear hive like red raised rash could also appear dermatitic targetoid lichenoid nodular even without rash essential pruritus tense bulla eventually erupt commonly inner thigh upper arm trunk extremity frequently involved part skin surface involved oral lesion present minority case disease may acute last month year period exacerbation remission
Burning Mouth Syndrome,"Elavil,Clonazepam",Burning mouth syndrome,"['By definition', 'BMS has no signs. Sometimes affected persons will attribute the symptoms to sores in the mouth', 'but these are in fact normal anatomic structures (e.g. lingual papillae ', 'varices ). Symptoms of BMS are variable', 'but the typical clinical picture is given below', 'considered according to the Socrates pain assessment method (see table). If clinical signs are visible', 'then another explanation for the burning sensation may be present. Erythema (redness) and edema (swelling) of papillae on the tip of the tongue may be a sign that the tongue is being habitually pressed against the teeth. The number and size of filiform papillae may be reduced. If the tongue is very red and smooth', 'then there is likely a local or systemic cause (e.g. erythematous candidiasis', 'anemia ).']",803,2,definition bm sign sometimes affected person attribute symptom sore mouth fact normal anatomic structure eg lingual papilla varix symptom bm variable typical clinical picture given considered according socrates pain assessment method see table clinical sign visible another explanation burning sensation may present erythema redness edema swelling papilla tip tongue may sign tongue habitually pressed teeth number size filiform papilla may reduced tongue red smooth likely local systemic cause eg erythematous candidiasis anemia
"Burns, External","Benzocaine,Silvadene,Silver sulfadiazine",Burn,First degree : Red without blisters Second degree : Blisters and pain Third degree : Area stiff and not painful Fourth degree : Bone and tendon loss,148,3,first degree red without blister second degree blister pain third degree area stiff painful fourth degree bone tendon loss
Bursitis,"Prednisone,Naproxen",Bursitis,"['Bursitis commonly affects superficial bursae. These include the subacromial ', 'prepatellar ', 'retrocalcaneal ', 'and pes anserinus bursae of the shoulder', 'knee', 'heel and shin', 'etc. (see below ). Symptoms vary from localized warmth and erythema (redness) to joint pain and stiffness', 'to stinging pain that surrounds the joint around the inflamed bursa. In this condition', 'the pain usually is worse during and after activity', 'and then the bursa and the surrounding joint becomes stiff the next morning.']",518,2,bursitis commonly affect superficial bursa include subacromial prepatellar retrocalcaneal pe anserinus bursa shoulder knee heel shin etc see symptom vary localized warmth erythema redness joint pain stiffness stinging pain surround joint around inflamed bursa condition pain usually worse activity bursa surrounding joint becomes stiff next morning
CMV Prophylaxis,Valacyclovir,Human betaherpesvirus 5,"['Human betaherpesvirus 5 infection has a classic triad of symptoms: fever ', 'peaking in the late afternoon or early evening; pharyngitis ', 'usually exudative; and symmetrical adenopathy .']",192,1,human betaherpesvirus 5 infection classic triad symptom fever peaking late afternoon early evening pharyngitis usually exudative symmetrical adenopathy
COPD,"Roflumilast,Fluticasone / vilanterol,Symbicort,Umeclidinium / vilanterol,Aclidinium,Daliresp,Anoro Ellipta,Breo Ellipta,Stiolto Respimat,Tudorza Pressair,Montelukast,Olodaterol,Umeclidinium,Olodaterol / tiotropium,Levalbuterol",Chronic obstructive pulmonary disease,"Shortness of breath , chronic cough",35,15,shortness breath chronic cough
"COPD, Acute","Primatene Mist,Levalbuterol,Metaproterenol",Acute exacerbation of chronic obstructive pulmonary disease,"['An acute exacerbation of COPD is associated with increased frequency and severity of coughing. It is often accompanied by worsened chest congestion and discomfort. Shortness of breath and wheezing are present in many cases. Exacerbations may be accompanied by increased amount of cough and sputum productions', 'and a change in appearance of sputum. An abrupt worsening in COPD symptoms may cause rupture of the airways in the lungs ', 'which in turn may cause a spontaneous pneumothorax .']",493,3,acute exacerbation copd associated increased frequency severity coughing often accompanied worsened chest congestion discomfort shortness breath wheezing present many case exacerbation may accompanied increased amount cough sputum production change appearance sputum abrupt worsening copd symptom may cause rupture airway lung turn may cause spontaneous pneumothorax
"COPD, Maintenance","Advair Diskus,Brovana,Spiriva,Albuterol,Salmeterol,Spiriva Respimat,Symbicort,Tiotropium,Albuterol / ipratropium,Combivent,Fluticasone / salmeterol,ProAir HFA,Umeclidinium / vilanterol,Ventolin HFA,Tudorza Pressair,Umeclidinium,Stiolto Respimat,Advair HFA,Roflumilast",Chronic obstructive pulmonary disease,"Shortness of breath , chronic cough",35,19,shortness breath chronic cough
Cachexia,Megace,Cachexia,"sudden weight loss, altered eating signals",42,1,sudden weight loss altered eating signal
Cance,Doxorubicin,,nan,3,1,nan
Cataplexy,"Sodium oxybate,Xyrem",Cataplexy,"['Cataplexy manifests itself as muscular weakness which may range from a barely perceptible slackening of the facial muscles to complete muscle paralysis with postural collapse. Attacks are brief', 'most lasting from a few seconds to a couple of minutes', 'and typically involve dropping of the jaw', 'neck weakness', 'and/or buckling of the knees. Even in a full-blown collapse', 'people are usually able to avoid injury because they learn to notice the feeling of the cataplectic attack approaching and the fall is usually slow and progressive. Speech may be slurred and vision may be impaired (double vision', 'inability to focus)', 'but hearing and awareness remain normal.']",679,2,cataplexy manifest muscular weakness may range barely perceptible slackening facial muscle complete muscle paralysis postural collapse attack brief lasting second couple minute typically involve dropping jaw neck weakness andor buckling knee even fullblown collapse people usually able avoid injury learn notice feeling cataplectic attack approaching fall usually slow progressive speech may slurred vision may impaired double vision inability focus hearing awareness remain normal
